Anadolu Agency,Right,Mixed,Turkey,Medium Credibility,News Agency,High Traffic,84
American association for the advancement of science.,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,87
Australian Associated Press (AAP),Least Biased,High,Australia,High Credibility,News Agency,Medium Traffic,
American Academy of Pediatrics,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,86
Association of American Physicians and Surgeons (AAPS),Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,64
Asharq Al-Awsat,Right-Center,Mixed,United Kingdom,Medium Credibility,Newspaper,Medium Traffic,0
Abbotsford News,Left-Center,High,Canada,High Credibility,Newspaper,Medium Traffic,
ABC (Spain),Right-Center,High,Spain,High Credibility,Newspaper,High Traffic,80
KXTV - Sacramento News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
ABC11 Eyewitness News,Left-Center,High,United States,High Credibility,TV Station,Medium Traffic,74
ABC12/WJRT-TV,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,57
KTRK - ABC13 - Houston,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
KNXV - Phoenix News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
KMIZ - Columbia News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KQFX - Columbia News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WHTM - Harrisburg News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KFSN - ABC30 Fresno News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
WBMA - Birmingham News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
KTVX - Salt Lake City News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WXLV - Winston-Salem,Right-Center,High,United States,High Credibility,TV Station,Minimal Traffic,0
WSYX - ABC6onyourside.com,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
KABC - Los Angeles News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
KVIH - Clovis News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
KVII - Amarillo News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
ABC7chicago.com,Least Biased,High,United States,High Credibility,TV Station,High Traffic,78
KGO - ABC7 News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
ABC7 New York,Least Biased,High,United States,High Credibility,TV Station,High Traffic,87
ABC News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,97
WCIV - Charleston News,Right-Center,High,United States,High Credibility,,Medium Traffic,
KDNL - St. Louis News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
Abort73,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,0
Above the Law,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,81
Above Top Secret,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,64
Albuquerque Journal,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,81
Against Crony Capitalism,Right,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,30
Accuracy in Academia (AIA),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,53
A Call for an Uprising,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,
Accountable.US,Left,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,
AceShowbiz (ASB),Left-Center,Mixed,Indonesia,Medium Credibility,Website Only,Medium Traffic,66
American Center for Law & Justice (ACLJ),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,76
ACLU,Left-Center,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,92
American College of Pediatricians,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,56
American Council on Science and Health (ACSH),Right-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,62
Act.TV,Left,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,35
Acting Man,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,59
Action News 3,Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,22
WMC - Memphis News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
ActionNewsJax.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,56
KHSL - Chico News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KNVN - Redding News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Acton Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,
Algemeen Dagblad,Least Biased,High,Netherlands,High Credibility,Newspaper,High Traffic,71
Anxiety and Depression Association of America (ADAA),Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,82
Ada Derana,Left-Center,Mixed,Sri Lanka,Medium Credibility,Website Only,Medium Traffic,
Adams County Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Ada Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
ADDitude Magazine,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Magazine,Medium Traffic,0
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
100 Mile Free Press,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
100% Fed up,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,55
KOLN\KGIN - Lincoln News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KNPL - North Platte News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
WBNS-TV (10tv.com),Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WXIA - 11alive.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,64
12minutos.com,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,32
12 News KPNX,Least Biased,High,United States,High Credibility,,Medium Traffic,55
KNAZ - Flagstaff News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KBMT - 12NewsNow,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,54
WTVG - 13 Action News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WVEC - 13NewsNow.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,56
WHAM - Rochester News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WMAZ - Macon News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WFIE - Evansville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
OneEighty,Least Biased,Mixed,United States,Medium Credibility,Website Only,No Data,15
1945 - 19fortyfive,Right-Center,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,
The 19th News,Left,High,United States,High Credibility,Organization/Foundation,Medium Traffic,
2020 Conservative,Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
2020ElectionCenter.com,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,High Traffic,
21st Century Wire,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,,Medium Traffic,64
24/7 Wall St,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,
24jours.com,Questionable Sources,Low,Cameroon,Low Credibility,Website Only,Minimal Traffic,
24ur.com,Least Biased,Mostly Factual,Slovenia,High Credibility,Website Only,High Traffic,59
WEEK - Peoria News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
2ndVote,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,39
369 News,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,34
38 North,Least Biased,High,United States,High Credibility,Organization/Foundation,Medium Traffic,70
KMTV - Omaha News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KHBS/KHOG - Fort Smith News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
4Chan,Questionable Sources,Very Low,United States,Low Credibility,Website Only,High Traffic,
KFSM Fort Smith-Fayetteville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
604 Now,Left-Center,Mostly Factual,Canada,High Credibility,Newspaper,Medium Traffic,46
WPVI - Philadelphia - Action News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
79Days.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,High Traffic,20
7NEWS,Right-Center,Mixed,Australia,Medium Credibility,TV Station,High Traffic,66
KLAS - Las Vegas News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,0
911Truth.org,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,73
The Drive 92.9 - Tulsa,Least Biased,High,United States,High Credibility,Radio Station,Minimal Traffic,
972 Magazine,Left-Center,High,Israel,High Credibility,Website Only,Minimal Traffic,67
9News - KUSA,Least Biased,High,United States,High Credibility,TV Station,High Traffic,67
9 News (Australia),Right-Center,High,Australia,High Credibility,TV Station,High Traffic,79
America First Action SuperPAC,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,0
Anadolu Agency,Right,Mixed,Turkey,Medium Credibility,News Agency,High Traffic,84
American association for the advancement of science.,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,87
Australian Associated Press (AAP),Least Biased,High,Australia,High Credibility,News Agency,Medium Traffic,
American Academy of Pediatrics,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,86
Association of American Physicians and Surgeons (AAPS),Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,64
Asharq Al-Awsat,Right-Center,Mixed,United Kingdom,Medium Credibility,Newspaper,Medium Traffic,0
Abbotsford News,Left-Center,High,Canada,High Credibility,Newspaper,Medium Traffic,
ABC (Spain),Right-Center,High,Spain,High Credibility,Newspaper,High Traffic,80
KXTV - Sacramento News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
ABC11 Eyewitness News,Left-Center,High,United States,High Credibility,TV Station,Medium Traffic,74
ABC12/WJRT-TV,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,57
KTRK - ABC13 - Houston,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
KNXV - Phoenix News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
KMIZ - Columbia News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KQFX - Columbia News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WHTM - Harrisburg News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KFSN - ABC30 Fresno News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
WBMA - Birmingham News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
KTVX - Salt Lake City News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WXLV - Winston-Salem,Right-Center,High,United States,High Credibility,TV Station,Minimal Traffic,0
WSYX - ABC6onyourside.com,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
KABC - Los Angeles News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
KVIH - Clovis News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
KVII - Amarillo News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
ABC7chicago.com,Least Biased,High,United States,High Credibility,TV Station,High Traffic,78
KGO - ABC7 News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
ABC7 New York,Least Biased,High,United States,High Credibility,TV Station,High Traffic,87
ABC News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,97
WCIV - Charleston News,Right-Center,High,United States,High Credibility,,Medium Traffic,
KDNL - St. Louis News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
Abort73,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,0
Above the Law,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,81
Above Top Secret,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,64
Albuquerque Journal,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,81
Against Crony Capitalism,Right,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,30
Accuracy in Academia (AIA),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,53
A Call for an Uprising,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,
Accountable.US,Left,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,
AceShowbiz (ASB),Left-Center,Mixed,Indonesia,Medium Credibility,Website Only,Medium Traffic,66
American Center for Law & Justice (ACLJ),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,76
ACLU,Left-Center,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,92
American College of Pediatricians,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,56
American Council on Science and Health (ACSH),Right-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,62
Act.TV,Left,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,35
Acting Man,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,59
Action News 3,Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,22
WMC - Memphis News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
ActionNewsJax.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,56
KHSL - Chico News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KNVN - Redding News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Acton Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,
Algemeen Dagblad,Least Biased,High,Netherlands,High Credibility,Newspaper,High Traffic,71
Anxiety and Depression Association of America (ADAA),Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,82
Ada Derana,Left-Center,Mixed,Sri Lanka,Medium Credibility,Website Only,Medium Traffic,
Adams County Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Ada Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
ADDitude Magazine,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Magazine,Medium Traffic,0
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
The Advertiser,Right,Mixed,Australia,Medium Credibility,Newspaper,Medium Traffic,63
Alliance Defending Freedom,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Medium Traffic,80
Ad Fontes Media,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,38
Anti-Defamation League (ADL),Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,84
Anchorage Daily News,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,65
Adobo Chronicles,Satire,,United States,N/A,Website Only,Minimal Traffic,42
FT Bragg Advocate-News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
The Advocate,Left,High,United States,High Credibility,Magazine,Medium Traffic,86
Adweek,Least Biased,High,United States,High Credibility,Magazine,Medium Traffic,0
Architects & Engineers for 9/11 Truth,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Organization/Foundation,Minimal Traffic,79
American Enterprise Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,84
Aeon,Left-Center,High,Australia,High Credibility,Website Only,Medium Traffic,81
American Family Association,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,76
Affinity Magazine,Left-Center,Mixed,United States,Medium Credibility,Magazine,Minimal Traffic,49
Alliance for Justice (AFJ),Left,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,61
American Family News,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Medium Traffic,68
Agence France-Presse (AFP),Least Biased,High,France,High Credibility,News Agency,High Traffic,92
American Foreign Policy Council,Right,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,54
The Australian Financial Review,Right-Center,High,Australia,High Credibility,Newspaper,Medium Traffic,89
Africa Check,Least Biased,Very High,South Africa,High Credibility,Website Only,Medium Traffic,66
African Arguments,Left-Center,High,United Kingdom,High Credibility,Website Only,Minimal Traffic,57
Africa News,Left-Center,Mostly Factual,France,High Credibility,TV Station,Medium Traffic,77
The African Exponent,Questionable Sources,Mixed,Tanzania,Low Credibility,Website Only,Minimal Traffic,0
Aftonbladet,Left,Mixed,Sweden,Medium Credibility,Newspaper,High Traffic,0
Agassiz-Harrison Observer,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
AgDaily,Least Biased,High,United States,High Credibility,Website Only,Minimal Traffic,41
Age of Autism,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,67
Agerpres,Least Biased,High,Romania,High Credibility,News Agency,Medium Traffic,77
Successful Farming Magazine,Left-Center,High,United States,High Credibility,Magazine,Medium Traffic,
American Geophysical Union (AGU),Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,75
AgWeb,Least Biased,High,United States,High Credibility,Journal,Medium Traffic,55
Ahval News,Left-Center,Mixed,Cyprus,Medium Credibility,Website Only,Medium Traffic,55
Ahwatukee Foothills News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Amandla,Left,High,South Africa,High Credibility,Magazine,Minimal Traffic,43
American Institute for Economic Research,Right-Center,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,53
Accuracy in Media,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,75
American Intelligence Media,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,44
Assyrian International News Agency,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,66
American Institute of of Physics,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,83
Airdrie Echo,Right-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
Airdrie City View,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
Air Force Times,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,0
Air and Space Mag,Pro-Science,Very High,United States,High Credibility,Magazine,Medium Traffic,58
Airwars,Least Biased,High,United Kingdom,High Credibility,Organization/Foundation,Minimal Traffic,66
Aish.com,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,
American Journal of Archaeology,Pro-Science,Very High,United States,High Credibility,Journal,Minimal Traffic,37
Atlanta Journal-Constitution,Left-Center,High,United States,High Credibility,Newspaper,High Traffic,91
American Journal of Public Health (AJPH),Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,0
Al Monitor,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,73
Al-Sura,Left-Center,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,25
Al.com (Alabama News),Right-Center,High,United States,High Credibility,Newspaper,High Traffic,89
The Birmingham News,Right-Center,High,United States,High Credibility,Newspaper,High Traffic,
Huntsville Times,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
Mobile Press-Register,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
Alabama Now,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,
The New Arab,Left-Center,Mostly Factual,United Kingdom,High Credibility,Website Only,Medium Traffic,70
Alaska Highway News,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
KSKA - NPR - Anchorage,Left-Center,High,United States,High Credibility,Radio Station,Medium Traffic,
KATH - Juneau,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KAUU - Anchorage,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KTUU-TV,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,51
KTVA 11,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,54
KUBD - Ketchikan,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Albany Standard,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Al Bawaba,Questionable Sources,Mixed,Jordan,Low Credibility,,Medium Traffic,72
Port Alberni Valley News,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
Alberta Press Leader,Right,Mixed,Canada,Medium Credibility,Website Only,Minimal Traffic,
Alberta Views,Left-Center,High,Canada,High Credibility,Magazine,Minimal Traffic,32
Aldergrove Star,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Al DIA,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,0
American Legislative Exchange Council (ALEC),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,70
Aleteia,Right-Center,Mixed,France,Medium Credibility,Organization/Foundation,High Traffic,0
Alexander City Outlook,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Dadeville Record,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
The Algemeiner Journal,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,58
Al Jazeera,Left-Center,Mixed,Qatar,Medium Credibility,TV Station,High Traffic,96
AllAfrica,Least Biased,High,South Africa,High Credibility,Website Only,Medium Traffic,0
AllGov,Left-Center,High,United States,High Credibility,Website Only,Minimal Traffic,63
Alliance for Advanced Health,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,30
Alliance for Science,Pro-Science,High,United States,High Credibility,Organization/Foundation,High Traffic,0
Grove City Allied News,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Independent Flordia Alligator,Left,High,United States,High Credibility,Newspaper,Minimal Traffic,
All News Pipeline,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,56
Alloa Advertiser,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
Al-Masdar News,Questionable Sources,Mixed,Lebanon,Low Credibility,Website Only,Minimal Traffic,66
Aloha State News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Alpha News,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,46
Alabama Political Reporter,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,49
Altermed Zentrum,Conspiracy-Pseudoscience,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
Alternative Science,Satire,,United States,N/A,Website Only,Minimal Traffic,27
Alternative Facts,Satire,,United States,N/A,Website Only,Minimal Traffic,25
AlternativeNews.com,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,41
Alternet,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,90
AltHealth Works,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,49
AltLeft.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,
Alt News,Left,High,India,High Credibility,Website Only,Medium Traffic,0
AltNewsMedia.net,Right,Mixed,United Kingdom,Medium Credibility,Website Only,Minimal Traffic,28
Alabama Today,Right-Center,Mostly Factual,United States,High Credibility,Website Only,Minimal Traffic,41
Alt-Right TV,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,
American Medical Association (AMA),Pro-Science,High,United States,High Credibility,Organization/Foundation,High Traffic,70
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
AMAC (Association of Mature American Citizens),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,62
Amarillo Globe-News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,68
AmericaBlog,Left,High,United States,High Credibility,Website Only,Minimal Traffic,78
The America First Policy Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,
America Magazine,Left-Center,High,United States,High Credibility,Magazine,Medium Traffic,77
America Max News,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,
